Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-12-26;4721;51;49.0;26.0;25.0;14.000000000000002;23.0;63.0;78.0;14.000000000000002;7.9999999999999964;16.0;23.0;61.0;55.00000000000001;25.0;19.999999999999996;56.00000000000001;23.0;20.999999999999996;35.0;30.000000000000004;35.0;46.0;27.999999999999996;26.0;34.0;27.999999999999996;38.0;53.0;26.0;20.999999999999996;45.0;27.999999999999996;27.0;41.0;27.000000000000007;31.999999999999996;32.0;27.999999999999996;40.0;1;2;1;2;1;2;X;1;1;2;1;2;1;76023;437;34;0;342;8506;87204;503522;38168348;26.0;121212X112121;14092
2022-01-01;4722;52;30.0;26.999999999999996;43.00000000000001;64.0;20.999999999999996;15.000000000000002;20.0;24.0;56.00000000000001;44.0;25.999999999999996;30.000000000000004;32.0;26.999999999999996;41.0;36.0;28.000000000000004;36.0;42.0;27.999999999999996;30.000000000000004;44.0;26.999999999999996;29.000000000000004;52.0;26.0;21.999999999999996;32.0;27.999999999999996;40.0;25.0;28.000000000000004;47.0;13.0;21.999999999999996;65.0;42.0;28.999999999999996;29.000000000000004;2;1;2;1;X;1;2;1;2;1;X;1;X;1777777;7162;360;84;9;361;5745;51281;26521247;16.0;2121X12121X1X;344288
2022-01-08;4723;1;30.0;26.999999999999996;43.00000000000001;59.0;23.0;18.000000000000004;33.0;26.999999999999996;40.0;33.0;27.999999999999996;39.0;32.0;27.999999999999996;40.0;54.0;24.0;21.999999999999996;54.0;25.0;20.999999999999996;19.0;24.0;57.00000000000001;22.0;24.999999999999996;53.0;70.0;19.000000000000007;10.999999999999998;70.0;19.000000000000007;10.999999999999998;69.0;19.000000000000007;12.0;12.0;19.0;69.0;X;1;1;X;X;X;X;1;1;X;2;1;2;0;66930;1678;290;0;31;989;11892;21280437;;X11XXXX11X212;781267
2022-01-15;4724;2;31.0;26.999999999999996;42.00000000000001;33.0;27.999999999999996;39.0;42.0;30.0;28.000000000000004;48.0;25.0;27.0;25.0;28.000000000000004;47.0;35.0;30.000000000000004;35.0;28.000000000000004;28.999999999999993;43.00000000000001;64.0;20.999999999999996;15.000000000000002;42.0;27.999999999999996;30.000000000000004;77.0;14.000000000000002;8.999999999999996;28.999999999999996;27.999999999999996;43.00000000000001;47.0;27.0;26.0;28.999999999999996;26.000000000000007;44.99999999999999;X;1;1;X;1;X;1;1;2;1;2;X;1;1104499;7405;419;107;12;391;5517;44696;29696460;12.0;X11X1X11212X1;263993
2022-01-22;4725;3;9.0;15.0;76.0;51.0;25.0;24.0;48.0;26.0;26.0;31.0;31.0;38.0;40.0;28.999999999999993;31.000000000000007;61.0;23.0;16.000000000000004;54.0;26.0;19.999999999999996;40.0;28.000000000000004;31.999999999999996;33.0;27.999999999999996;39.0;52.0;26.0;21.999999999999996;24.0;26.0;50.0;45.0;26.999999999999996;28.000000000000004;71.0;19.000000000000007;9.999999999999998;X;1;2;2;1;2;1;2;2;1;2;1;1;59522;750;50;15;114;3392;40690;265933;26098362;;X122121221211;78315
2022-01-29;4726;4;19.0;25.0;56.00000000000001;39.0;28.000000000000004;32.99999999999999;40.0;28.000000000000004;31.999999999999996;25.0;29.000000000000004;46.0;46.0;26.999999999999996;27.0;50.0;27.0;23.0;25.0;27.0;48.0;64.0;20.999999999999996;15.000000000000002;75.0;16.000000000000004;8.999999999999996;26.0;26.0;48.0;45.0;26.999999999999996;28.000000000000004;44.0;26.999999999999996;29.000000000000004;44.0;26.999999999999996;29.000000000000004;2;1;X;1;1;X;2;1;X;1;2;1;2;556423;6831;393;96;11;336;4668;39538;23540979;;21X11X21X1212;317669
2022-02-06;4727;5;42.0;30.0;28.000000000000004;46.0;25.999999999999996;28.000000000000004;52.0;26.0;21.999999999999996;63.0;21.999999999999996;15.000000000000002;56.00000000000001;25.0;18.999999999999993;59.0;24.0;17.000000000000004;56.99999999999999;25.0;18.000000000000004;28.000000000000004;27.0;44.99999999999999;28.000000000000004;26.0;46.0;42.0;27.999999999999996;30.000000000000004;37.0;28.000000000000004;35.0;38.0;30.000000000000004;31.999999999999996;33.0;27.999999999999996;39.0;X;1;1;X;1;2;1;1;2;1;2;1;2;116372;1703;109;30;52;1332;16546;123452;23274431;;X11X121121212;80259
2022-02-12;4728;6;6.0;16.0;78.0;44.0;27.999999999999996;28.000000000000004;36.0;30.000000000000004;34.0;26.0;30.000000000000004;43.99999999999999;26.0;27.0;47.0;33.0;30.0;37.0;27.0;27.0;46.0;40.0;28.999999999999993;31.000000000000007;21.0;25.0;54.0;55.00000000000001;25.0;19.999999999999996;46.0;26.999999999999996;27.0;33.0;30.0;37.0;30.0;28.999999999999996;41.0;2;1;X;2;1;1;2;X;2;1;1;2;2;17291;198;17;0;694;15001;138525;704997;30478188;12.0;21X2112X21122;1771
2022-02-19;4729;7;76.0;16.000000000000004;7.9999999999999964;67.0;20.999999999999996;12.0;17.0;24.999999999999996;58.00000000000001;60.0;23.0;17.000000000000004;47.0;26.0;27.0;55.00000000000001;26.0;18.999999999999993;26.0;27.0;47.0;33.0;30.0;37.0;45.0;28.999999999999996;26.0;49.0;27.0;24.0;51.0;26.0;23.0;57.99999999999999;24.0;18.000000000000004;52.0;26.0;21.999999999999996;2;1;2;2;1;2;1;1;X;1;X;1;X;6284544;22849;1046;196;2;125;2183;24167;29293781;12.0;21221211X1X1X;486564
2022-02-26;4730;8;10.0;17.0;73.0;71.0;18.000000000000004;10.999999999999998;39.0;29.000000000000004;31.999999999999996;41.0;28.999999999999996;30.000000000000004;51.0;26.0;23.0;35.0;29.000000000000004;36.0;46.0;26.999999999999996;27.0;31.0;27.999999999999996;41.0;51.0;26.0;23.0;59.0;24.0;17.000000000000004;53.0;25.0;21.999999999999996;53.0;26.0;20.999999999999996;36.0;30.000000000000004;34.0;2;X;2;2;X;2;X;1;1;1;1;1;2;168539;1266;85;26;89;2516;29863;200255;32693613;15.0;2X22X2X111112;83997
2022-03-05;4731;9;76.0;15.000000000000002;8.999999999999996;43.0;26.999999999999996;30.000000000000004;13.0;24.0;63.0;37.0;31.000000000000007;31.999999999999996;31.0;30.0;39.0;41.0;32.0;27.0;56.00000000000001;25.99999999999999;18.000000000000004;30.0;28.999999999999996;41.0;35.0;32.00000000000001;32.99999999999999;45.0;27.999999999999996;27.0;22.0;27.0;51.0;32.0;30.0;38.0;48.0;29.000000000000004;23.0;1;1;2;1;2;2;1;1;1;2;2;2;2;60188;977;71;23;123;2839;30877;200066;28473780;;1121221112222;16419
2022-03-12;4732;10;47.0;26.0;27.0;43.0;26.999999999999996;30.000000000000004;43.0;26.999999999999996;30.000000000000004;41.0;27.000000000000007;31.999999999999996;42.0;27.999999999999996;30.000000000000004;39.0;29.000000000000004;31.999999999999996;34.0;28.999999999999996;37.0;56.00000000000001;25.0;18.999999999999993;57.99999999999999;24.0;18.000000000000004;56.00000000000001;24.0;19.999999999999996;28.000000000000004;28.000000000000004;43.99999999999999;35.0;29.000000000000004;36.0;44.0;26.999999999999996;29.000000000000004;1;1;X;1;X;1;X;2;1;1;X;X;X;387908;4829;305;83;17;512;6472;49067;25363280;;11X1X1X211XXX;244433
2022-03-19;4733;11;13.0;21.000000000000004;65.99999999999999;30.0;27.999999999999996;42.00000000000001;34.0;26.999999999999996;39.0;32.0;27.999999999999996;40.0;34.0;27.999999999999996;38.0;42.0;28.999999999999996;29.000000000000004;49.0;27.0;24.0;45.0;26.999999999999996;28.000000000000004;31.0;27.999999999999996;41.0;31.0;25.000000000000007;43.99999999999999;45.0;27.999999999999996;27.0;42.0;27.999999999999996;30.000000000000004;45.0;24.999999999999993;30.000000000000004;2;X;2;2;1;1;X;X;X;2;X;1;1;351590;3201;188;49;17;700;9533;75981;22988610;;2X2211XXX2X11;94844
2022-03-26;4734;12;52.0;28.000000000000004;19.999999999999996;51.0;27.0;21.999999999999996;41.0;31.0;28.000000000000004;14.000000000000002;25.0;61.0;81.0;13.99999999999999;5.000000000000004;84.0;12.0;4.0000000000000036;52.0;25.0;23.0;55.00000000000001;25.0;19.999999999999996;42.0;26.999999999999996;31.000000000000007;25.0;27.0;48.0;57.99999999999999;24.0;18.000000000000004;45.0;27.999999999999996;27.0;47.0;28.000000000000004;25.0;1;1;X;X;1;1;1;2;2;2;1;1;1;6280;88;0;0;792;20999;182030;816718;19130382;;11XX111222111;3288
2022-04-02;4735;13;63.0;20.999999999999996;16.000000000000004;72.0;19.000000000000007;8.999999999999996;7.000000000000001;13.999999999999998;79.0;39.0;27.0;34.0;33.0;31.0;36.0;65.0;23.0;12.0;33.0;28.999999999999996;38.0;44.0;28.999999999999996;27.0;20.0;24.0;56.00000000000001;43.0;27.999999999999996;29.000000000000004;41.0;30.0;29.000000000000004;43.0;30.0;27.0;33.0;26.999999999999996;40.0;X;2;2;X;1;X;1;X;2;X;2;X;1;7000000;34930;1654;356;2;88;1486;14357;31526799;14.0;X22X1X1X2X2X1;806669
2022-04-09;4736;14;28.999999999999996;27.000000000000007;43.99999999999999;61.0;24.0;15.000000000000002;21.0;26.0;53.0;35.0;28.000000000000004;37.0;60.0;25.0;15.000000000000002;40.0;28.000000000000004;31.999999999999996;49.0;26.0;25.0;36.0;29.000000000000004;35.0;55.00000000000001;25.0;19.999999999999996;63.0;23.0;14.000000000000002;56.99999999999999;24.00000000000001;18.999999999999993;47.0;26.0;27.0;27.0;25.0;48.0;2;2;2;2;X;2;2;1;X;1;1;1;2;143380;1464;87;25;46;1689;22585;164112;25367308;;2222X221X1112;117648
2022-04-16;4737;15;42.0;26.999999999999996;31.000000000000007;81.0;12.99999999999999;6.000000000000005;23.0;26.0;51.0;33.0;30.0;37.0;30.0;31.0;39.0;36.0;31.000000000000007;32.99999999999999;45.0;28.999999999999996;26.0;59.0;24.0;17.000000000000004;71.0;19.000000000000007;9.999999999999998;70.0;19.000000000000007;10.999999999999998;43.0;27.999999999999996;29.000000000000004;47.0;28.000000000000004;25.0;47.0;25.0;28.000000000000004;2;1;1;2;2;1;2;X;X;1;1;2;2;407407;2907;200;60;27;872;10109;69614;25999547;11.0;2112212XX1122;334832
2022-04-23;4738;16;24.0;26.0;50.0;87.0;8.999999999999996;4.0000000000000036;34.0;27.999999999999996;38.0;27.0;29.000000000000004;43.99999999999999;39.0;28.000000000000004;32.99999999999999;46.0;26.999999999999996;27.0;28.999999999999996;27.000000000000007;43.99999999999999;30.0;28.999999999999996;41.0;39.0;28.000000000000004;32.99999999999999;17.0;23.0;60.0;44.0;27.999999999999996;28.000000000000004;61.0;23.0;16.000000000000004;47.0;27.0;26.0;X;1;X;2;X;X;X;X;1;2;1;1;2;105447;1436;99;30;56;1542;17719;120659;22711860;;X1X2XXXX12112;81835
2022-04-30;4739;17;10.0;16.0;74.0;68.0;19.999999999999996;12.0;40.0;28.000000000000004;31.999999999999996;37.0;29.000000000000004;34.0;35.0;31.000000000000007;34.0;31.0;28.999999999999996;40.0;55.00000000000001;25.0;19.999999999999996;50.0;27.0;23.0;43.0;26.999999999999996;30.000000000000004;47.0;26.0;27.0;39.0;29.000000000000004;31.999999999999996;61.0;23.0;16.000000000000004;33.0;28.999999999999996;38.0;2;1;2;2;2;2;1;1;1;X;2;1;2;5949;74;0;0;2185;37239;264580;1082217;28336072;13.0;212222111X212;1654
2022-05-07;4740;18;67.0;19.999999999999996;13.0;71.0;19.000000000000007;9.999999999999998;30.0;27.999999999999996;42.00000000000001;31.0;28.999999999999996;40.0;43.0;26.999999999999996;30.000000000000004;59.0;24.0;17.000000000000004;46.0;25.999999999999996;28.000000000000004;39.0;27.0;34.0;70.0;20.000000000000007;9.999999999999998;64.0;21.999999999999996;14.000000000000002;28.000000000000004;27.0;44.99999999999999;52.0;26.0;21.999999999999996;46.0;26.999999999999996;27.0;X;X;1;2;1;1;2;X;1;1;2;1;2;288308;1900;118;33;49;1443;18509;137074;28124275;14.0;XX12112X11212;107944
2022-05-14;4741;19;26.0;27.0;47.0;41.0;31.0;28.000000000000004;44.0;27.999999999999996;28.000000000000004;17.0;22.0;61.0;48.0;24.0;28.000000000000004;35.0;25.0;40.0;69.0;18.000000000000004;13.0;45.0;24.999999999999993;30.000000000000004;49.0;24.0;27.0;55.00000000000001;23.0;21.999999999999996;55.00000000000001;24.0;20.999999999999996;47.0;24.0;29.000000000000004;65.0;20.999999999999996;14.000000000000002;X;2;1;1;1;1;X;1;2;X;2;1;1;605453;10621;606;143;8;171;2397;21116;18629328;;X21111X12X211;640657
2022-05-21;4742;20;81.0;13.99999999999999;5.000000000000004;82.0;13.0;5.000000000000004;62.0;21.999999999999996;16.000000000000004;41.0;26.000000000000007;32.99999999999999;82.0;13.0;5.000000000000004;8.0;14.000000000000002;78.0;37.0;28.000000000000004;35.0;40.0;28.000000000000004;31.999999999999996;32.0;26.999999999999996;41.0;48.0;26.0;26.0;28.999999999999996;28.999999999999996;42.00000000000001;49.0;26.0;25.0;13.0;21.000000000000004;65.99999999999999;1;1;1;2;1;2;1;2;1;1;1;2;2;3419;74;0;0;1713;29343;222136;961452;22527630;;1112121211122;1066
2022-05-28;4743;21;46.0;25.999999999999996;28.000000000000004;68.0;19.999999999999996;12.0;54.0;24.0;21.999999999999996;35.0;30.000000000000004;35.0;40.0;28.000000000000004;31.999999999999996;28.000000000000004;26.0;46.0;53.0;26.0;20.999999999999996;54.0;26.0;19.999999999999996;27.0;29.000000000000004;43.99999999999999;15.0;20.0;65.0;16.0;23.0;61.0;38.0;26.0;36.0;22.0;26.0;52.0;2;1;1;2;2;1;X;X;2;2;2;X;1;440000;3691;221;54;25;548;7292;61749;20745545;11.0;211221XX222X1;101042
2022-06-04;4744;22;37.0;30.000000000000004;32.99999999999999;10.0;22.0;68.0;35.0;31.000000000000007;34.0;28.999999999999996;31.0;40.0;32.0;30.0;38.0;37.0;27.0;36.0;40.0;25.0;35.0;20.0;25.0;55.00000000000001;28.999999999999996;25.000000000000007;46.0;45.0;24.999999999999993;30.000000000000004;53.0;24.0;23.0;50.0;25.0;25.0;48.0;28.000000000000004;24.0;X;1;X;2;1;2;2;2;1;X;X;X;2;0;88294;4155;839;0;15;255;2629;13583755;;X1X212221XXX2;1305344
2022-06-11;4745;23;53.0;27.0;19.999999999999996;13.0;21.000000000000004;65.99999999999999;61.0;23.0;16.000000000000004;23.0;26.0;51.0;39.0;30.999999999999993;30.000000000000004;46.0;28.999999999999996;25.0;32.0;33.0;35.0;38.0;31.999999999999996;30.000000000000004;13.0;21.000000000000004;65.99999999999999;45.0;30.0;25.0;38.0;25.0;37.0;48.0;25.0;27.0;51.0;25.0;24.0;X;X;X;X;1;1;X;1;2;X;2;X;1;2645193;10586;608;145;3;156;2170;18896;16937713;7.0;XXXX11X12X2X1;441173
2022-06-18;4746;24;62.0;19.999999999999996;18.000000000000004;64.0;19.999999999999996;16.000000000000004;55.00000000000001;24.0;20.999999999999996;49.0;24.0;27.0;54.0;23.0;23.0;13.0;19.0;68.0;38.0;26.0;36.0;41.0;26.000000000000007;32.99999999999999;52.0;25.0;23.0;22.0;23.0;55.00000000000001;74.0;16.000000000000004;9.999999999999998;51.0;26.0;23.0;32.0;30.0;38.0;1;1;2;X;1;2;X;2;1;2;2;1;X;216581;1698;90;24;16;765;11496;88937;13328069;;112X12X21221X;50067
2022-06-25;4747;25;50.0;25.0;25.0;15.0;21.0;64.0;27.0;28.000000000000004;44.99999999999999;11.0;19.0;70.0;33.0;24.999999999999993;42.00000000000001;13.0;19.0;68.0;25.0;23.0;52.0;35.0;27.0;38.0;65.0;19.999999999999996;15.000000000000002;78.0;13.0;8.999999999999996;32.0;26.999999999999996;41.0;35.0;25.0;40.0;55.00000000000001;24.0;20.999999999999996;X;X;X;2;1;2;X;1;1;1;X;1;2;309973;2817;172;46;12;495;6468;49581;14306447;;XXX212X111X12;120411
2022-07-02;4748;26;26.0;28.000000000000004;46.0;62.0;23.0;15.000000000000002;41.0;25.000000000000007;34.0;24.0;24.0;52.0;28.999999999999996;25.000000000000007;46.0;21.0;23.0;56.00000000000001;7.000000000000001;12.0;81.0;28.999999999999996;24.000000000000004;47.0;23.0;24.999999999999996;52.0;41.0;25.000000000000007;34.0;42.0;25.000000000000007;32.99999999999999;62.0;21.999999999999996;16.000000000000004;36.0;29.000000000000004;35.0;X;2;2;X;1;X;2;1;1;1;X;2;1;0;80557;3006;627;0;16;343;3425;13219761;;X22X1X2111X21;1089057
2022-07-09;4749;27;36.0;27.0;37.0;24.0;23.0;53.0;26.0;25.0;49.0;60.0;21.999999999999996;18.000000000000004;51.0;24.0;25.0;22.0;27.0;51.0;56.00000000000001;24.0;19.999999999999996;57.99999999999999;23.00000000000001;18.999999999999993;45.0;25.999999999999996;29.000000000000004;27.0;26.0;47.0;55.00000000000001;25.0;19.999999999999996;48.0;26.0;26.0;37.0;27.0;36.0;X;X;X;1;X;2;2;1;X;2;X;1;X;599739;3739;230;65;12;377;4902;35830;14460512;7.0;XXX1X221X2X1X;436190
2022-07-16;4750;28;66.0;19.999999999999996;14.000000000000002;21.0;26.0;53.0;11.0;17.000000000000004;72.0;5.0;10.0;85.0;39.0;27.0;34.0;23.0;23.999999999999996;53.0;67.0;19.999999999999996;13.0;56.99999999999999;25.0;18.000000000000004;53.0;27.0;19.999999999999996;48.0;25.0;27.0;48.0;27.0;25.0;52.0;24.0;24.0;45.0;25.999999999999996;29.000000000000004;1;X;2;2;2;2;1;X;1;1;X;1;1;3410;78;0;0;963;15688;112266;465746;12632051;;1X22221X11X11;1236
2022-07-23;4751;29;55.00000000000001;24.0;20.999999999999996;55.00000000000001;26.0;18.999999999999993;53.0;25.0;21.999999999999996;49.0;26.0;25.0;76.0;15.000000000000002;8.999999999999996;40.0;27.0;32.99999999999999;38.0;27.0;35.0;47.0;23.0;30.000000000000004;56.00000000000001;24.0;19.999999999999996;37.0;25.0;38.0;36.0;27.0;37.0;25.0;28.000000000000004;47.0;49.0;26.0;25.0;X;1;2;1;1;1;X;X;1;2;1;2;1;32638;305;25;0;207;4565;44276;244122;14300995;6.0;X12111XX12121;27766
2022-07-30;4752;30;34.0;26.999999999999996;39.0;46.0;27.999999999999996;26.0;30.0;28.999999999999996;41.0;47.0;27.0;26.0;49.0;27.0;24.0;42.0;28.999999999999996;29.000000000000004;32.0;27.999999999999996;40.0;38.0;30.999999999999993;31.000000000000007;43.0;27.999999999999996;29.000000000000004;42.0;28.999999999999996;29.000000000000004;36.0;27.0;37.0;52.0;24.0;24.0;67.0;19.999999999999996;13.0;1;1;1;1;X;1;X;X;X;1;2;X;1;441797;4746;297;77;15;340;4342;34790;16550185;6.0;1111X1XXX12X1;157009
2022-08-06;4753;31;19.0;25.0;56.00000000000001;71.0;18.000000000000004;10.999999999999998;57.99999999999999;25.0;17.000000000000004;40.0;28.999999999999993;31.000000000000007;26.0;27.0;47.0;38.0;29.000000000000004;32.99999999999999;54.0;25.0;20.999999999999996;48.0;27.0;25.0;31.0;27.999999999999996;41.0;38.0;29.000000000000004;32.99999999999999;40.0;28.999999999999993;31.000000000000007;55.00000000000001;26.0;18.999999999999993;48.0;27.0;25.0;2;1;1;1;1;2;X;X;1;1;2;1;1;151162;1232;89;27;86;2238;24605;164784;28283403;13.0;211112XX11211;24741
2022-08-13;4754;32;25.0;28.000000000000004;47.0;65.0;19.999999999999996;15.000000000000002;90.0;7.9999999999999964;2.0000000000000018;39.0;29.999999999999993;31.000000000000007;42.0;27.999999999999996;30.000000000000004;41.0;28.999999999999996;30.000000000000004;41.0;27.999999999999996;31.000000000000007;40.0;28.000000000000004;31.999999999999996;36.0;30.000000000000004;34.0;27.0;26.0;47.0;39.0;29.999999999999993;31.000000000000007;42.0;28.999999999999996;29.000000000000004;44.0;27.999999999999996;28.000000000000004;1;1;1;X;X;X;X;2;1;1;1;2;1;558246;7476;396;96;11;308;4652;39693;23618114;;111XXXX211121;183995
2022-08-20;4755;33;11.0;20.0;69.0;38.0;29.000000000000004;32.99999999999999;49.0;27.0;24.0;39.0;28.000000000000004;32.99999999999999;52.0;25.0;23.0;57.99999999999999;25.0;17.000000000000004;50.0;27.0;23.0;32.0;31.0;37.0;50.0;27.0;23.0;27.0;27.0;46.0;45.0;27.999999999999996;27.0;52.0;27.0;20.999999999999996;60.0;25.0;15.000000000000002;2;1;X;1;2;X;2;X;X;1;2;1;1;2067713;9494;480;114;3;245;3872;33870;23858234;;21X12X2XX1211;380383
